"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1",5,6,7,0,0,8,0,9,7,9
"2",9,9,0,5,6,6,0,0,3,6
"3",2,8,0,1,7,7,5,6,0,1
"4",8,0,7,2,7,4,5,0,6,7
"5",2,1,8,7,2,4,3,3,6,1
"6",3,5,0,8,9,7,9,2,8,7
"7",7,8,2,1,6,5,2,6,5,5
"8",7,6,0,6,0,6,7,2,2,9
"9",6,2,5,5,3,1,6,0,4,0
"10",8,9,1,2,9,0,9,6,5,7
"11",4,3,2,0,4,8,2,7,2,4
"12",9,6,2,0,7,5,9,7,2,7
"13",3,6,6,2,3,7,0,8,8,2
"14",2,9,0,8,0,7,5,5,8,1
"15",0,5,7,3,1,2,3,1,5,7
"16",7,0,6,2,2,8,1,5,4,6
"17",4,4,1,0,6,3,9,5,4,1
"18",6,2,6,8,7,8,7,0,5,2
"19",0,4,0,7,6,6,5,4,3,1
"20",3,2,5,6,5,6,9,5,6,7
"21",8,5,0,8,4,7,6,2,6,0
"22",0,2,7,3,1,7,5,5,6,4
"23",4,3,0,1,5,0,8,8,5,7
"24",0,7,7,9,8,6,1,9,1,7
"25",2,2,0,2,0,2,2,2,5,9
"26",4,3,9,1,3,5,9,8,2,3
"27",5,7,0,5,3,5,8,7,1,5
"28",6,8,0,3,1,0,3,1,8,3
"29",3,6,0,7,5,3,0,1,9,5
"30",8,1,5,4,4,4,4,4,6,0
"31",6,5,3,1,6,2,9,4,9,2
"32",9,9,8,0,2,8,9,9,7,9
"33",4,1,4,6,7,9,4,8,0,3
"34",7,1,2,7,9,4,5,0,9,0
"35",4,4,4,0,8,8,2,8,0,9
"36",4,6,0,6,3,6,7,0,5,9
"37",7,6,6,7,6,7,9,9,5,6
"38",9,1,4,3,4,1,6,1,1,0
"39",0,0,6,6,8,5,3,2,4,5
"40",4,7,1,5,9,0,8,4,5,7
"41",5,9,4,8,3,0,4,0,6,1
"42",5,3,9,7,2,3,9,2,0,0
"43",1,3,4,6,6,8,7,4,9,9
"44",8,5,2,0,7,3,8,9,7,2
"45",7,0,5,1,3,1,1,7,3,1
"46",4,9,1,8,1,8,5,5,0,9
"47",3,4,0,3,2,7,7,8,9,2
"48",7,3,6,9,1,1,5,7,9,9
"49",5,1,7,0,5,2,1,4,7,7
"50",6,2,5,3,9,3,8,8,1,0
"51",1,9,1,7,3,1,9,7,2,2
"52",8,1,5,9,9,6,1,0,3,7
"53",8,3,1,0,0,4,7,7,0,2
"54",0,6,9,2,6,2,5,1,0,5
"55",1,2,5,2,4,2,9,0,8,5
"56",5,1,8,0,9,2,9,8,9,0
"57",9,3,3,0,0,8,8,8,9,4
"58",7,4,7,2,2,8,7,7,1,9
"59",8,6,6,2,1,5,3,5,4,5
"60",5,4,6,6,0,4,0,5,6,6
"61",0,0,9,0,2,5,5,4,0,1
"62",8,8,2,0,1,7,0,1,8,8
"63",6,6,3,4,4,2,8,6,1,1
"64",6,7,4,3,3,0,3,0,3,9
"65",5,1,5,7,2,9,8,3,3,1
"66",9,5,8,5,6,0,8,7,5,8
"67",0,2,2,9,4,2,5,4,3,7
"68",7,8,5,1,9,8,8,7,0,8
"69",2,7,0,5,4,8,7,8,3,2
"70",9,5,9,0,9,2,8,8,7,1
"71",6,7,2,3,9,0,7,5,9,4
"72",9,0,5,0,5,7,9,5,4,5
"73",1,9,1,5,2,3,0,4,5,7
"74",7,0,1,7,2,6,6,8,7,1
"75",2,8,6,3,0,6,4,8,9,5
"76",3,0,2,2,7,7,9,9,2,9
"77",3,1,4,3,4,6,4,9,7,4
"78",8,1,6,2,5,8,8,1,8,1
"79",3,2,3,4,3,5,9,1,0,6
"80",5,9,7,0,4,9,7,5,1,2
"81",4,3,3,6,2,3,4,9,3,6
"82",3,0,8,0,7,2,9,5,7,9
"83",8,8,0,7,2,3,3,1,7,1
"84",5,7,3,2,4,9,5,6,2,7
"85",6,0,8,3,8,0,3,6,8,5
"86",6,7,8,2,3,7,4,6,3,9
"87",5,8,6,5,7,7,0,8,1,8
"88",3,6,0,2,0,1,2,0,7,7
"89",3,6,9,0,9,1,0,7,0,4
"90",7,1,0,3,1,7,3,7,1,5
"91",9,5,9,2,0,2,2,5,6,2
"92",4,5,6,5,7,9,7,5,3,3
"93",0,9,2,0,2,5,7,1,2,3
"94",8,5,0,2,3,1,5,7,8,1
"95",0,9,5,9,5,4,0,3,7,4
"96",3,2,5,1,7,9,3,7,7,0
"97",5,4,6,4,6,5,6,0,9,5
"98",7,6,9,8,5,9,9,5,5,3
"99",8,1,5,2,7,5,7,1,9,4
"100",7,1,4,1,1,9,4,9,1,3
"101",2,0,0,8,5,7,8,6,7,5
"102",3,9,0,9,1,1,6,4,0,2
"103",6,2,4,5,7,5,9,1,6,6
"104",7,1,6,0,5,3,5,9,4,6
"105",6,4,1,4,5,4,6,7,2,6
"106",6,5,0,9,2,4,6,7,5,4
"107",9,4,9,7,7,4,8,4,5,4
"108",5,8,6,4,5,8,4,4,1,6
"109",0,4,6,1,6,9,4,0,8,3
"110",2,3,9,1,6,0,5,4,6,0
"111",9,3,5,2,9,8,4,0,0,6
"112",0,5,2,8,1,9,5,9,4,9
"113",3,5,1,2,4,2,4,2,9,6
"114",0,6,4,8,0,1,1,8,7,0
"115",0,8,0,3,2,5,2,6,6,0
"116",6,6,5,2,4,1,0,6,9,7
"117",0,3,0,6,5,0,1,7,4,4
"118",6,0,5,7,1,6,5,8,1,1
"119",0,4,3,3,6,4,9,6,3,1
"120",6,2,4,8,6,6,7,5,3,6
"121",9,9,4,4,6,1,8,0,4,3
"122",7,2,0,7,8,9,7,7,6,9
"123",9,2,8,7,5,8,1,3,8,6
"124",5,5,8,7,2,9,6,9,4,9
"125",7,6,1,0,9,5,1,0,0,0
"126",2,0,7,8,7,1,9,9,1,1
"127",5,6,2,9,1,1,3,2,2,1
"128",3,6,1,2,3,3,5,9,1,8
"129",0,7,5,9,6,0,5,5,1,4
"130",4,7,8,8,2,6,6,9,1,9
"131",0,3,6,1,2,8,2,0,7,7
"132",3,1,8,7,4,3,6,8,4,7
"133",4,8,6,8,5,9,6,7,4,6
"134",4,8,5,2,3,6,3,9,4,6
"135",7,9,9,7,6,4,1,8,9,1
"136",2,8,6,9,1,8,8,1,6,3
"137",2,2,2,0,6,7,4,0,7,4
"138",3,2,0,1,7,8,8,0,7,9
"139",4,6,3,2,8,7,1,6,0,4
"140",4,8,9,3,0,8,9,6,5,6
"141",1,0,4,4,1,6,4,3,0,5
"142",5,2,7,0,6,6,5,7,9,5
"143",7,4,9,1,9,6,4,5,3,1
"144",1,4,2,0,4,2,9,3,7,0
"145",9,6,2,2,2,1,1,8,4,1
"146",3,4,9,4,8,6,5,0,5,6
"147",7,3,4,4,8,1,3,4,9,3
"148",8,6,6,0,7,3,1,8,8,4
"149",2,4,3,6,6,7,9,4,8,1
"150",0,7,0,5,8,1,7,0,6,8
"151",7,3,1,3,9,9,8,9,9,8
"152",9,4,2,2,5,9,7,5,6,8
"153",8,4,4,3,1,7,6,2,1,9
"154",9,8,2,4,1,7,7,0,7,4
"155",6,8,5,6,8,9,5,8,2,5
"156",7,4,2,1,9,7,0,7,5,2
"157",5,1,4,6,8,8,0,4,4,3
"158",0,2,3,4,7,9,3,1,1,5
"159",0,7,3,2,5,5,0,6,8,4
"160",2,7,7,0,7,3,9,0,0,5
"161",4,1,3,2,8,4,8,6,9,5
"162",5,5,0,7,0,0,7,5,4,3
"163",1,6,4,6,5,5,3,0,1,7
"164",6,9,7,5,7,5,9,4,3,3
"165",1,4,3,7,9,1,0,9,9,9
"166",0,8,4,5,8,5,8,2,8,8
"167",6,9,5,1,2,4,5,2,1,8
"168",6,9,5,3,0,9,6,7,5,1
"169",2,9,0,4,8,6,3,6,9,6
"170",9,4,2,4,5,4,4,2,9,3
"171",7,7,7,3,9,5,2,5,2,3
"172",9,4,0,3,0,9,3,9,9,5
"173",7,2,0,9,3,3,5,2,4,2
"174",6,2,6,3,8,8,4,7,1,6
"175",4,9,7,4,4,7,5,6,3,5
"176",8,3,0,5,4,4,0,4,0,8
"177",7,4,3,7,5,0,3,5,6,0
"178",2,4,9,0,6,1,4,0,6,5
"179",8,8,6,9,2,7,7,4,7,0
"180",6,4,3,5,0,3,3,1,7,6
"181",0,5,1,8,3,2,7,8,1,8
"182",8,5,3,7,2,4,1,6,9,3
"183",5,2,9,2,6,0,5,3,8,4
"184",7,1,2,4,8,3,6,1,1,3
"185",7,5,1,4,8,7,5,7,3,8
"186",8,8,7,0,8,4,4,4,2,9
"187",4,5,8,5,3,2,2,2,2,6
"188",5,0,2,6,0,4,6,6,7,2
"189",8,4,5,3,3,9,2,0,7,8
"190",6,6,6,9,4,6,1,1,8,7
"191",3,1,3,4,4,5,2,2,1,9
"192",2,9,1,8,9,9,4,7,9,9
"193",8,5,2,1,5,3,9,5,7,7
"194",5,9,0,8,6,4,3,9,7,0
"195",7,3,8,0,3,2,8,9,2,1
"196",3,2,9,9,9,2,0,5,0,9
"197",9,5,5,4,0,8,1,6,9,6
"198",9,5,0,7,3,0,4,7,2,8
"199",5,9,5,6,0,0,3,2,9,5
"200",0,8,2,2,9,4,9,3,1,9
"201",5,4,8,3,3,2,3,9,1,2
"202",9,2,0,0,6,6,2,2,3,7
"203",1,2,1,6,3,6,2,8,6,2
"204",5,4,8,9,4,6,0,1,4,2
"205",4,2,9,4,5,7,6,1,5,3
"206",7,9,2,6,4,1,1,9,3,2
"207",0,1,1,7,2,6,5,5,0,6
